,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID_UP_CAPITAL,STATUTORY_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS_(NET),ALL_OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID_UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,UNQUOTED_ORDINARY_SHARES,QUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE_INSURERS,REINSURERS'_SHARE_OF_TECHNICAL_LIABILITIES,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,,GENERAL_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),AMOUNTS_IN_'000'_KES,FIGURES_IN_THOUSANDS_KSHS.
NO.,1.0,2.0,3.0,4.0,,6.0,,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,,,22.0,23.0,24.0,,26.0,27.0,28.0,29.0,30.0,,31.0,32.0,33.0,33.0,,5.0,7.0,20.0,21.0,25.0,,
METROPOLITA N LIFE,420000.0,12365.0,407635.0,407635.0,,0.0,,-78899.0,328736.0,5224.0,195612.0,37693.0,567265.0,0.0,3179.0,77069.0,233672.0,0.0,0.0,,,0.0,0.0,29555.0,,0.0,187760.0,8873.0,7617.0,4837.0,,9623.0,5080.0,0.0,567265.0,,0.0,0.0,0.0,0.0,0.0,,
OLD MUTUAL,1000000.0,275014.0,724986.0,724986.0,,0.0,,72435.0,976452.0,7143753.0,0.0,467138.0,8587343.0,200120.0,0.0,69084.0,2075986.0,0.0,0.0,,,0.0,237966.0,2113442.0,,0.0,2505127.0,675987.0,0.0,0.0,,103634.0,160679.0,9730.0,8587343.0,,1159971.0,-980940.0,0.0,0.0,435588.0,,
PAN AFRICA LIFE,500000.0,300000.0,200000.0,200000.0,,0.0,,30260.0,213693.0,9093337.0,33535.0,361530.0,9702095.0,0.0,0.0,114014.0,4347976.0,0.0,0.0,,,0.0,0.0,1547183.0,,0.0,1902652.0,481000.0,81242.0,58381.0,,228753.0,165029.0,0.0,9702095.0,,0.0,-16567.0,0.0,0.0,775865.0,,
PIONEER,150000.0,0.0,150000.0,150000.0,,0.0,,0.0,300710.0,649402.0,8358.0,62697.0,1021167.0,0.0,0.0,17350.0,167365.0,0.0,0.0,,,0.0,0.0,10264.0,,0.0,43866.0,410635.0,125597.0,46168.0,,16166.0,81347.0,0.0,1021167.0,,0.0,150710.0,0.0,0.0,102409.0,,
SHIELD,150000.0,0.0,150000.0,62000.0,,0.0,,0.0,15027.0,462414.0,0.0,42804.0,520245.0,366351.0,0.0,8093.0,21946.0,0.0,0.0,,,0.0,0.0,0.0,,81.0,0.0,0.0,6497.0,0.0,,926.0,104983.0,0.0,520245.0,,0.0,-46973.0,0.0,0.0,11368.0,,
THE MONARCH,154976,-,154976,154976,,-,,-,285939,-,77713,82511,446163,158000,-,4350,119348,-,-,,,-,-,-,,-,1000,-,-,36401,,1244,46895,3925,446163,,68181,62782,-,-,75000,,
CAPEX LIFE,150000,-,150000,161063,,-,,-,191834,101093,-,24968,317895,268500,-,12173,23586,-,-,,,-,-,3810,,-,-,-,881,-,,285,6597,62,317895,,30449,322,-,-,2001,,
UAP LLIFE,191456.0,0.0,191456.0,191456.0,,0.0,,36171.0,-186535.0,3009191.0,16887.0,87837.0,2927380.0,620000.0,0.0,21112.0,899071.0,0.0,97825.0,,,0.0,0.0,617753.0,,0.0,376495.0,0.0,54120.0,124828.0,,34594.0,81583.0,0.0,2927380.0,,0.0,-414161.0,0.0,0.0,0.0,,
TOTAL,5746935.0,587379.0,5159556.0,5082619.0,,2575473.0,,5323301.0,15989964.0,107638798.0,1266017.0,3712851.0,128607630.0,4645013.0,1141638.0,971956.0,54589028.0,6000.0,1105908.0,,,0.0,2955912.0,18932475.0,,1468311.0,18007138.0,15351495.0,543625.0,653287.0,,1537293.0,1954143.0,214814.0,128607630.0,,2886732.0,121839.0,0.0,0.0,4529595.0,,
NO.,1,2,3,4,,6,,8,9,10,11,12,13,14,15,16,17,18,19,,,22,23,24,,26,27,28,29,30,,31,32,33,34,Bima Bora Kwa Taifa,5,7,20,21,25,,
UNNAMED: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLO,150000.0,0.0,150000.0,150000.0,,0.0,,231885.0,447773.0,355493.0,741061.0,48036.0,1592363.0,0.0,320000.0,9203.0,541550.0,0.0,0.0,,,0.0,41880.0,444055.0,,,82039.0,88400.0,0.0,19248.0,,17153.0,25789.0,0.0,1592363.0,,65888.0,0.0,0.0,0.0,3046.0,,
BRITAK,180000.0,,180000.0,180000.0,,0.0,,5927256.0,6107256.0,11975016.0,0.0,419144.0,18501416.0,202469.0,1344934.0,136230.0,2085091.0,0.0,3802718.0,,,0.0,8093296.0,,,,520887.0,0.0,62759.0,60526.0,,340380.0,238734.0,,18501416.0,,0.0,0.0,0.0,0.0,1613392.0,,
CANNON,150000.0,0.0,150000.0,150000.0,,232756.0,,292734.0,675490.0,414733.0,0.0,124566.0,1214789.0,55000.0,454783.0,5347.0,283626.0,0.0,10000.0,,,0.0,0.0,183878.0,,0.0,90493.0,0.0,0.0,0.0,,3477.0,24635.0,4317.0,1214789.0,,0.0,0.0,,0.0,99233.0,,
CFC LIFE,152340.0,0.0,152340.0,152340.0,,1000683.0,,0.0,2387574.0,10613748.0,57222.0,491978.0,13550522.0,621051.0,125000.0,336272.0,5769315.0,0.0,0.0,,,0.0,298184.0,2581245.0,,0.0,1141589.0,1145754.0,4877.0,89437.0,,367293.0,189976.0,134189.0,13550522.0,,755672.0,478879.0,0.0,0.0,746340.0,,
COOPERA- TIVE,236219.0,0.0,236219.0,236219.0,,35621.0,,560001.0,831841.0,1123963.0,0.0,426012.0,2381816.0,110950.0,249050.0,105552.0,565350.0,0.0,0.0,,,0.0,0.0,73826.0,,0.0,640769.0,165920.0,91655.0,4853.0,,129920.0,54474.0,0.0,2381816.0,,0.0,0.0,0.0,0.0,189497.0,,
