,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
AMACO,160000,0,160000,160000,0,0,65647,0,225647,284916,0,114493,625056,212543,0,75869,15500,0,0,0,0,0,0,0,0,77505,165029,38011,30203,10396,,625056
APA,400000,0,400000,400000,0,0,1185467,15981,1601448,2680895,0,208469,4490812,82000,486000,26879,362340,0,0,0,0,0,1732694,53888,13138,220584,562037,179454,114876,567486,89436,4490812
BLUE SHIELD,200000,0,200000,200000,0,149883,113708,-13980,449611,1688702,73281,451045,2662639,750000,20543,68562,152639,0,0,0,0,0,80150,0,0,426125,0,920497,102543,134199,7381,2662639
"BRITISH
AMERICAN",200000,0,200000,200000,0,0,347397,120000,667397,422985,36519,35349,1162250,0,0,18412,69000,0,0,0,0,0,677035,0,0,8000,157061,19182,33747,170306,9507,1162250
CANNON,100000,0,100000,100000,0,0,186573,0,286573,654585,0,143433,1084591,35560,248200,9215,145303,0,0,0,0,0,268762,0,0,113432,153997,20349,1469,88304,,1084591
CFC LIFE,100000,0,100000,100000,0,0,35821,0,135821,344077,0,44625,524523,0,0,0,399830,0,0,0,0,0,0,0,0,0,82633,9979,0,32081,0,524523
CONCORD,120000,0,120000,120000,38838,0,26371,0,185209,316172,93440,26634,621455,0,89700,5152,73844,0,0,0,0,0,53410,0,0,54161,245965,38893,19187,41143,0,621455
COOPERATIVE,258847,0,258847,258847,0,0,0,79843,338690,825893,0,183803,1348386,0,0,52294,258715,0,0,0,0,10000,14597,0,0,482187,193511,206018,65816,65248,0,1348386
CORPORATE,100000,0,100000,100000,0,0,37700,-5046,132654,330190,0,91881,554725,102375,131700,5749,45429,0,0,0,0,0,17889,0,0,0,194965,32243,6416,17959,0,554725
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
